"customer_key","year_birth","age_in_2014","generation","education","marital_status","living_situation","income","kidhome","teenhome","dt_customer","is_parent","household_size","age_group"
"100000","1957","57","Baby Boomer","Graduate","Single","Alone","58138","0","0","2012-04-09 00:00:00","false","1","50s"
"100001","1954","60","Baby Boomer","Graduate","Single","Alone","46344","1","1","2014-08-03 00:00:00","true","3","60s"
"100002","1965","49","Gen X","Graduate","Together","Partner","71613","0","0","2013-08-21 00:00:00","false","2","40s"
"100003","1984","30","Millennial","Graduate","Together","Partner","26646","1","0","2014-10-02 00:00:00","true","3","30s"
"100004","1981","33","Millennial","PhD","Married","Partner","58293","1","0","2014-01-19 00:00:00","true","3","30s"
"100005","1967","47","Gen X","Master","Together","Partner","62513","0","1","2013-09-09 00:00:00","true","3","40s"
"100006","1971","43","Gen X","Graduate","Divorced","Alone","55635","0","1","2012-11-13 00:00:00","true","2","40s"
"100007","1985","29","Millennial","PhD","Married","Partner","33454","1","0","2013-08-05 00:00:00","true","3","20s"
"100008","1974","40","Gen X","PhD","Together","Partner","30351","1","0","2013-06-06 00:00:00","true","3","40s"
"100009","1950","64","Baby Boomer","PhD","Together","Partner","5648","1","1","2014-03-13 00:00:00","true","4","60s"
"100010","1983","31","Millennial","Graduate","Married","Partner","51381","1","0","2013-11-15 00:00:00","true","3","30s"
"100011","1976","38","Gen X","High School","Married","Partner","7500","0","0","2012-11-13 00:00:00","false","2","30s"
"100012","1959","55","Baby Boomer","Graduate","Divorced","Alone","63033","0","0","2013-11-15 00:00:00","false","1","50s"
"100013","1952","62","Baby Boomer","Master","Divorced","Alone","59354","1","1","2013-11-15 00:00:00","true","3","60s"
"100014","1987","27","Millennial","Graduate","Married","Partner","17323","0","0","2012-10-10 00:00:00","false","2","20s"
"100015","1946","68","Baby Boomer","PhD","Single","Alone","82800","0","0","2012-11-24 00:00:00","false","1","60s"
"100016","1980","34","","Graduate","Married","Partner","41850","1","1","2012-12-24 00:00:00","true","4","30s"
"100017","1946","68","Baby Boomer","Graduate","Together","Partner","37760","0","0","2012-08-31 00:00:00","false","2","60s"
"100018","1949","65","Baby Boomer","Master","Married","Partner","76995","0","1","2013-03-28 00:00:00","true","3","60s"
"100019","1985","29","Millennial","Undergraduate","Single","Alone","33812","1","0","2012-03-11 00:00:00","true","2","20s"
"100020","1982","32","Millennial","Graduate","Married","Partner","37040","0","0","2012-08-08 00:00:00","false","2","30s"
"100021","1979","35","Gen X","Graduate","Married","Partner","2447","1","0","2013-06-01 00:00:00","true","3","30s"
"100022","1949","65","Baby Boomer","PhD","Married","Partner","58607","0","1","2012-12-23 00:00:00","true","3","60s"
"100023","1954","60","Baby Boomer","PhD","Married","Partner","65324","0","1","2014-11-01 00:00:00","true","3","60s"
"100024","1951","63","Baby Boomer","Graduate","Together","Partner","40689","0","1","2013-03-18 00:00:00","true","3","60s"
"100025","1969","45","Gen X","Graduate","Single","Alone","18589","0","0","2013-02-01 00:00:00","false","1","40s"
"100026","1976","38","Gen X","Graduate","Married","Partner","53359","1","1","2013-05-27 00:00:00","true","4","30s"
"100027","1986","28","Millennial","Graduate","Single","Alone","51381","1","0","2013-02-20 00:00:00","true","2","20s"
"100028","1989","25","Millennial","Graduate","Married","Partner","38360","1","0","2013-05-31 00:00:00","true","3","20s"
"100029","1965","49","Gen X","PhD","Married","Partner","84618","0","0","2013-11-22 00:00:00","false","2","40s"
"100030","1989","25","Millennial","Master","Divorced","Alone","10979","0","0","2014-05-22 00:00:00","false","1","20s"
"100031","1963","51","Baby Boomer","Master","Together","Partner","38620","0","0","2013-11-05 00:00:00","false","2","50s"
"100032","1970","44","Gen X","Graduate","Together","Partner","40548","0","1","2012-10-10 00:00:00","true","3","40s"
"100033","1952","62","Baby Boomer","PhD","Divorced","Alone","46610","0","2","2012-10-29 00:00:00","true","3","60s"
"100034","1946","68","Baby Boomer","Master","Married","Partner","68657","0","0","2013-02-20 00:00:00","false","2","60s"
"100035","1951","63","Baby Boomer","Master","Single","Alone","49389","1","1","2013-08-29 00:00:00","true","3","60s"
"100036","1970","44","Gen X","PhD","Married","Partner","67353","0","1","2013-12-31 00:00:00","true","3","40s"
"100037","1976","38","Gen X","Undergraduate","Married","Partner","23718","1","0","2013-02-09 00:00:00","true","3","30s"
"100038","1973","41","Gen X","Graduate","Widow","Alone","42429","0","1","2014-11-02 00:00:00","true","2","40s"
"100039","1943","71","Silent Generation","PhD","Divorced","Alone","48948","0","0","2013-01-02 00:00:00","false","1","70+"
"100040","1980","34","","Graduate","Married","Partner","80011","0","1","2013-04-29 00:00:00","true","3","30s"
"100041","1985","29","Millennial","Master","Married","Partner","20559","1","0","2013-12-03 00:00:00","true","3","20s"
"100042","1957","57","Baby Boomer","Graduate","Together","Partner","21994","0","1","2012-12-24 00:00:00","true","3","50s"
"100043","1959","55","Baby Boomer","PhD","Single","Alone","51381","0","0","2013-05-11 00:00:00","false","1","50s"
"100044","1975","39","Gen X","Master","Married","Partner","7500","1","0","2013-02-10 00:00:00","true","3","30s"
"100045","1976","38","Gen X","Graduate","Single","Alone","79941","0","0","2014-06-28 00:00:00","false","1","30s"
"100046","1996","18","","Undergraduate","Married","Partner","7500","0","0","2012-09-11 00:00:00","false","2","70+"
"100047","1968","46","Gen X","Graduate","Together","Partner","41728","1","0","2013-05-24 00:00:00","true","3","40s"
"100048","1951","63","Baby Boomer","Graduate","Single","Alone","51381","2","1","2014-01-01 00:00:00","true","4","60s"
